,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
0,0.25,-102505746.32293074,0.06746715307235718,-0.09217530488967893
1,0.4875,-102505746.33316807,0.018742024898529053,-0.020287629020841493
2,0.725,-102505746.3318332,0.04769971966743469,0.029030330871280853
3,0.9624999999999999,-102505746.35582544,0.03776189684867859,-0.21536155045032493
4,1.2,-102505746.34977007,-0.058582603931427,-0.02032003904643811
5,1.4375,-102505746.32799871,0.0297185480594635,0.455132679719674
6,1.6749999999999998,-102505746.36388639,0.09180906414985657,-0.07659260222786303
7,1.9124999999999999,-102505746.371608,0.007998257875442505,-0.2637757258979897
8,2.15,-102505746.36768556,0.026296138763427734,-0.3185541567049534
9,2.3874999999999997,-102505746.38409868,-0.06237998604774475,-0.16177281345191885
10,2.625,-102505746.33805506,-0.005889028310775757,0.9585270834596538
11,2.8625,-102505746.38130139,0.1110677719116211,0.06758208651291701
12,3.0999999999999996,-102505746.39081225,0.0053254663944244385,-0.8656297420200555
13,3.3375,-102505746.383831,-0.021569043397903442,0.050776068317263535
14,3.5749999999999997,-102505746.38056694,0.012552022933959961,0.8391603968645388
15,3.8125,-102505746.38979322,0.0899277925491333,-0.11547110974788916
16,4.05,-102505746.42328262,-0.0018345415592193604,0.07579109543248227
17,4.2875,-102505746.3889218,0.0988168716430664,0.9401768461654068
18,4.5249999999999995,-102505746.47022064,0.10232499241828918,-1.3969012138090566
19,4.7625,-102505746.43752618,-0.047819167375564575,0.29616932414081176
20,5.0,-102505746.44750653,0.13186419010162354,7.254676128688605
